plot_id,date,year,canyon,river_km,surveyors,grnd_soil,grnd_gravel,grnd_rock,grnd_litter,grnd_hcc,grnd_wood,grnd_micro,grnd_water,basal_veg,total_tree_cover,abicon_cov,abicon_hgt,abicon_sc0,abicon_sc1,abicon_sc2,abicon_sc3,acegla_cov,acegla_hgt,acegla_sc0,acegla_sc1,acegla_sc2,acegla_sc3,aceneg_cov,aceneg_hgt,aceneg_sc0,aceneg_sc1,aceneg_sc2,aceneg_sc3,alninc_cov,alninc_hgt,alninc_sc0,alninc_sc1,alninc_sc2,alninc_sc3,alnobl_cov,betocc_cov,betocc_hgt,jundep_cov,jundep_hgt,junmon_cov,junsco_cov,junsco_hgt,junsco_sc0,junsco_sc1,junsco_sc2,junsco_sc3,picpun_cov,picpun_hgt,picpun_sc0,picpun_sc1,picpun_sc2,picpun_sc3,pinfle_cov,pinpon_cov,pinpon_hgt,pinpon_sc0,pinpon_sc1,pinpon_sc2,pinpon_sc3,pinstr_cov,pinstr_hgt,pinstr_sc0,pinstr_sc1,pinstr_sc2,pinstr_sc3,popacu_cov,popang_cov,popang_hgt,popang_sc0,popang_sc1,popang_sc2,popang_sc3,popdel_cov,popdel_hgt,popdel_sc0,popdel_sc1,popdel_sc2,popdel_sc3,poptre_cov,poptre_hgt,poptre_sc0,poptre_sc1,poptre_sc2,poptre_sc3,psemen_cov,psemen_hgt,psemen_sc0,psemen_sc1,psemen_sc2,psemen_sc3,quegam_cov,quegam_hgt,quegam_sc0,quegam_sc1,quegam_sc2,quegam_sc3,salgoo_cov,salgoo_hgt,salgoo_sc0,salgoo_sc1,salgoo_sc2,salgoo_sc3,tamspp_cov,tamspp_hgt,ulmpum_cov,ulmpum_hgt,ulmpum_sc1,total_shrub_cover,amepum_cov,amepum_hgt,brispp_cov,brispp_hgt,brical_cov,brical_hgt,ceafen_cov,ceafen_hgt,cermon_cov,cermon_hgt,clespp_cov,clecol_cov,corser_cov,corser_hgt,crasuc_cov,crasuc_hgt,cylimb_cov,cylimb_hgt,erinau_cov,erinau_hgt,falpar_cov,falpar_hgt,forpub_cov,forpub_hgt,jamame_cov,jamame_hgt,juncom_cov,parvit_cov,phimic_cov,phimic_hgt,pruvir_cov,pruvir_hgt,ptetri_cov,ptetri_hgt,quepau_cov,quepau_hgt,quetur_cov,quetur_hgt,queund_cov,queund_hgt,rhugla_cov,rhugla_hgt,rhutri_cov,rhutri_hgt,ribcer_cov,ribcer_hgt,ribspp_cov,ribspp_hgt,riblep_cov,riblep_hgt,ribmon_cov,ribmon_hgt,robneo_cov,robneo_hgt,roswoo_cov,roswoo_hgt,rubida_cov,rubida_hgt,rubpar_cov,rubpar_hgt,salspp_cov,salspp_hgt,salexi_cov,salexi_hgt,salirr_cov,salirr_hgt,samspp_cov,samspp_hgt,toxryd_cov,toxryd_hgt,vitari_cov,total_dshrub_cover,artfri_cov,artfri_hgt,gutsar_cov,gutsar_hgt,opupha_cov,opupha_hgt,opupol_cov,opupol_hgt,opupol_hys_cov,opupol_hys_hgt,total_gram_cover,achhym_cov,agrspp_cov,agrgig_cov,agrsto_cov,aripur_cov,boucur_cov,boueri_cov,bougra_cov,brospp_cov,brocar_cov,brocil_cov,broine_cov,brolan_cov,bropor_cov,brotec_cov,calcan_cov,carspp_cov,carspp_s_cov,carspp_t_cov,carspp_ws_cov,carspp_wt_cov,carino_cov,carint_cov,carmic_cov,carpel_cov,carpra_cov,carros_cov,carsic_cov,dacglo_cov,danspi_cov,elycan_cov,elyely_cov,elypse_cov,elytra_cov,fesari_cov,fesaru_cov,festra_cov,glystr_cov,grass_13_1_cov,grass_1_cov,grass_2_cov,juncus_spp_cov,junens_cov,koemac_cov,melpor_cov,muhspp_cov,muhmex_cov,muhrac_cov,munsqu_cov,oryasp_cov,passmi_cov,phlalp_cov,pipmic_cov,poaspp_cov,poafen_cov,poapra_cov,schsco_cov,spocon_cov,spocry_cov,vuloct_cov,total_forb_cover,achmil_cov,agrstr_cov,allcer_cov,apocan_cov,apoand_cov,ararac_cov,artcam_cov,artcar_cov,artdra_cov,artlud_cov,bahdis_cov,bidfro_cov,bribra_cov,camrot_cov,cerarv_cov,chafen_cov,chespp_cov,chefre_cov,chepra_cov,cicmac_cov,cirpar_cov,cirund_cov,cirvul_cov,concan_cov,consco_cov,coraur_cov,crycin_cov,dalcan_cov,desspp_cov,despin_cov,diecan_cov,deican_gla_cov,dryfil_cov,epicil_cov,equspp_cov,equarv_cov,equhye_cov,equlae_cov,eridiv_cov,erifor_cov,erispp_cov,eripol_cov,erisub_cov,fern_cov,fraame_cov,fraves_cov,galspp_cov,galapa_cov,gercae_cov,gerric_cov,geuspp_cov,geuale_cov,helann_cov,helmul_cov,helpet_cov,hetvil_cov,hiefen_cov,humlup_cov,hydfen_cov,hymspp_cov,hymric_cov,ipoagg_cov,ipolon_cov,lacser_cov,lapocc_cov,latlan_cov,lotwri_cov,maispp_cov,mairac_cov,maiste_cov,melspp_cov,monfis_cov,oenela_cov,oxavio_cov,percau_cov,penspp_cov,penbar_cov,polsaw_cov,potnor_cov,psespp_cov,psemac_cov,psemon_cov,pteaqu_cov,rudhir_cov,rudlac_cov,smirac_cov,solspp_cov,solame_cov,solspe_cov,sphcoc_cov,taroff_cov,thafen_cov,themeg_cov,themon_cov,thewri_cov,tradub_cov,trapra_cov,typlat_cov,unk_must_cov,urtdio_cov,valedu_cov,vertha_cov,vicame_cov,viocan_cov,xangra_cov
03BD045,2020/08/17 00:00:00,2020,FRIJOLES,17.4,JS_CG,65,5,5,15,5,5,0,0,NA,0.5,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0.01,0.1,0.01,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,13,0,NA,0,NA,2.5,0.8,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.05,0.75,0,NA,0.01,1,0.5,2,0.5,0.5,0,NA,0,NA,0,NA,7.5,7,0,NA,0,NA,0,0.5,0,NA,0.05,0.4,0,NA,0,NA,0,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
03BD051,2020/08/12 00:00:00,2020,FRIJOLES,2.6,PS_JS_BL_CG,4,8,40,14,30,4,0,0,NA,8,0,NA,0,0,0,0,0,NA,0,0,0,0,2.5,2,0.05,2.5,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0.01,0.4,0.01,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,2.5,2,0,0,2.5,0,0.01,1.1,0,0.01,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0.01,0.2,0.01,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,27,0,NA,0,NA,2.5,0.5,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0.5,1,0,NA,0,2.5,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2.5,1,0.01,0.2,0.5,1,0,NA,0,NA,0,NA,0,NA,2.5,0.7,0,NA,0,NA,0.5,2,17.5,2.5,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BD052,2020/08/12 00:00:00,2020,FRIJOLES,2.1,PS_CG,1,0,10,83,0,6,0,0,NA,32,0,NA,0,0,0,0,0,NA,0,0,0,0,2.5,6,0,0,2.5,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,17.5,25,0,0,17.5,2.5,0,NA,0,0,0,0,0,7.5,15,0,0,7.5,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,7.5,8,0,0,7.5,0,0,NA,0,0,0,0,0,NA,0,NA,0,16.5,0,NA,0,NA,0.05,0.3,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,7.5,2,0,NA,0,0.05,0,NA,2.5,2,2.5,3,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.05,0.5,0,NA,0,NA,2.5,3,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.5,0.5,0.05,0,0,NA,0,NA,0,NA,0,NA,0,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BD076,2020/08/14 00:00:00,2020,FRIJOLES,14.6,JS_BL,2,2,25,40,6,25,0,0,NA,33,0,NA,0,0,0,0,0.01,NA,0,0.01,0,0,29,11,0.05,29,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,2.5,6,0,2.5,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,29,0,NA,0,NA,2.5,0.75,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,2.5,2,0,NA,0,NA,0,0,0,NA,2.5,4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,17.5,1.5,0,NA,7.5,0.75,0,NA,0,NA,0,NA,0,NA,0,NA,7.5,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,12,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
03BD082,2020/08/14 00:00:00,2020,FRIJOLES,12.8,PS_CG,60,2,3,8,15,12,2,0,NA,8,0,NA,0,0,0,0,0,NA,0,0,0,0,7.5,6,0,7.5,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,2.5,4,0,2.5,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,12,0,NA,0,NA,2.5,0.5,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,2.5,5,0,NA,0,NA,0.01,0.4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2.5,2,0.5,0.5,2.5,0.5,0,NA,0,NA,0,NA,0,NA,0,NA,0.5,0.4,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BD092,2020/08/19 00:00:00,2020,CAPULIN,6.4,PS_MS,25,7,35,5,23,1,1,3,NA,12,0,NA,0,0,0,0,0,NA,0,0,0,0,7.5,7,0,2.5,2.5,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,2.5,2,0.5,2.5,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0.5,1.5,0,0.5,0,0,0.01,1,0,NA,0,15.5,0,NA,0,NA,0.5,0.5,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,2.5,2,0,NA,0,2.5,0,NA,0.5,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.5,1,0.5,0.7,0,NA,0,NA,0,NA,2.5,0.65,2.5,1,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
03BD110,2020/08/21 00:00:00,2020,FRIJOLES,18,JS_BL,5,10,5,50,19,10,3,3,NA,38,0,NA,0,0,0,0,0,NA,0,0,0,0,17.5,10,0,17.5,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,2.5,10,0.5,2.5,0,0,0,0.01,1.2,0,0.01,0,0,0.01,3,0,0.01,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,2.5,1.2,0.01,2.5,0,0,7.5,6,0,2.5,0,0,0,NA,0,0,0,0,0.01,1,0,NA,0,27,0,NA,0,NA,0.05,1,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0.5,1.5,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7.5,1,0,NA,0.5,1.5,2.5,0.8,7.5,0.8,7.5,0.5,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,10,0,0,0,2.5,0,0,0,0,0,0.01,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BD114,2020/08/18 00:00:00,2020,CAPULIN,4,PS_MS,30,3,5,50,7,5,0,0,NA,20,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,7.5,20,0,0,7.5,0,0,NA,0,0,0,0,0,7.5,3,2.5,17.5,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0.5,3,0,0.5,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,8.5,0,NA,0,NA,0.5,0.4,0,NA,0.5,2.5,0,0,0,NA,0,NA,0,NA,0,NA,7.5,1.5,2.5,1.2,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0.5,0,NA,0.5,0.3,0,NA,0,NA,0,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BD146,2020/08/20 00:00:00,2020,CAPULIN,11.4,PS_MS,15,3,20,30,17,15,0,0,NA,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0.5,3,0,0.5,0,0,0,NA,0,0,0,0,0,NA,0.5,2.3,0.5,18.5,0,NA,0,NA,0.05,0.6,17.5,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0.5,1,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.01,0.2,0,NA,0,NA,0.05,2.1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
